round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.1088
0,server_eval_initial,serverapp,loss,2.302912431427195
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.326298180245417
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9483459418905535
1,train_agg,clientapp,nonfinite_updates_filtered,0
1,train_agg,clientapp,flanders_filtered,0
1,train_agg,clientapp,flanders_kept,6
1,train_agg,clientapp,flanders_mean_score,0.0
1,eval_agg,clientapp,eval_loss,2.303118058241221
1,eval_agg,clientapp,eval_acc,0.10194902548725637
1,server_eval,serverapp,accuracy,0.0999
1,server_eval,serverapp,loss,2.3032594240164457
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.2569906512047875
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.8532184990747975
2,train_agg,clientapp,nonfinite_updates_filtered,0
2,train_agg,clientapp,flanders_filtered,2
2,train_agg,clientapp,flanders_kept,4
2,train_agg,clientapp,flanders_mean_score,8.494248959323158e-06
2,eval_agg,clientapp,eval_loss,2.216493006660493
2,eval_agg,clientapp,eval_acc,0.13073463268365818
2,server_eval,serverapp,accuracy,0.1323
2,server_eval,serverapp,loss,2.2175272084489652
2,server_eval,serverapp,poisoned_accuracy,0.0
2,server_eval,serverapp,poisoned_loss,2.6631731219417922
2,server_eval,serverapp,attack_success_rate,0.0
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6323258883501848
3,train_agg,clientapp,nonfinite_updates_filtered,0
3,train_agg,clientapp,flanders_filtered,2
3,train_agg,clientapp,flanders_kept,4
3,train_agg,clientapp,flanders_mean_score,1.5708477450491726e-05
3,eval_agg,clientapp,eval_loss,1.9460955372975597
3,eval_agg,clientapp,eval_acc,0.24267866066966515
3,server_eval,serverapp,accuracy,0.2434
3,server_eval,serverapp,loss,1.9445544767983352
3,server_eval,serverapp,poisoned_accuracy,0.25704526046114434
3,server_eval,serverapp,poisoned_loss,2.629127579403168
3,server_eval,serverapp,attack_success_rate,0.20923656927426956
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.5634563488841235
4,train_agg,clientapp,nonfinite_updates_filtered,0
4,train_agg,clientapp,flanders_filtered,2
4,train_agg,clientapp,flanders_kept,4
4,train_agg,clientapp,flanders_mean_score,0.06837756699725557
4,eval_agg,clientapp,eval_loss,1.8091207092907755
4,eval_agg,clientapp,eval_acc,0.271864067966017
4,server_eval,serverapp,accuracy,0.2741
4,server_eval,serverapp,loss,1.806619380093828
4,server_eval,serverapp,poisoned_accuracy,0.12980358667805295
4,server_eval,serverapp,poisoned_loss,3.1633140987865342
4,server_eval,serverapp,attack_success_rate,0.09048067860508954
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.4780146155667295
5,train_agg,clientapp,nonfinite_updates_filtered,0
5,train_agg,clientapp,flanders_filtered,2
5,train_agg,clientapp,flanders_kept,4
5,train_agg,clientapp,flanders_mean_score,0.036569055309037306
5,eval_agg,clientapp,eval_loss,1.7025256663431805
5,eval_agg,clientapp,eval_acc,0.3055472263868066
5,server_eval,serverapp,accuracy,0.3069
5,server_eval,serverapp,loss,1.6971539681470846
5,server_eval,serverapp,poisoned_accuracy,0.032450896669513236
5,server_eval,serverapp,poisoned_loss,3.142517924003373
5,server_eval,serverapp,attack_success_rate,0.01885014137606032
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.3752217064150625
6,train_agg,clientapp,nonfinite_updates_filtered,0
6,train_agg,clientapp,flanders_filtered,2
6,train_agg,clientapp,flanders_kept,4
6,train_agg,clientapp,flanders_mean_score,0.00654040446279022
6,eval_agg,clientapp,eval_loss,1.6647805917868368
6,eval_agg,clientapp,eval_acc,0.3171414292853573
6,server_eval,serverapp,accuracy,0.315
6,server_eval,serverapp,loss,1.65468446061581
6,server_eval,serverapp,poisoned_accuracy,0.0
6,server_eval,serverapp,poisoned_loss,3.75444715599236
6,server_eval,serverapp,attack_success_rate,0.0
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.311806611122232
7,train_agg,clientapp,nonfinite_updates_filtered,0
7,train_agg,clientapp,flanders_filtered,2
7,train_agg,clientapp,flanders_kept,4
7,train_agg,clientapp,flanders_mean_score,0.0529204256097713
7,eval_agg,clientapp,eval_loss,1.6318470352358958
7,eval_agg,clientapp,eval_acc,0.3598200899550225
7,server_eval,serverapp,accuracy,0.366
7,server_eval,serverapp,loss,1.6295447243919856
7,server_eval,serverapp,poisoned_accuracy,0.22801024765157984
7,server_eval,serverapp,poisoned_loss,2.39098269088364
7,server_eval,serverapp,attack_success_rate,0.1649387370405278
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.2020525761252245
8,train_agg,clientapp,nonfinite_updates_filtered,0
8,train_agg,clientapp,flanders_filtered,2
8,train_agg,clientapp,flanders_kept,4
8,train_agg,clientapp,flanders_mean_score,0.08405999193186263
8,eval_agg,clientapp,eval_loss,1.5497962369505773
8,eval_agg,clientapp,eval_acc,0.4094952523738131
8,server_eval,serverapp,accuracy,0.4113
8,server_eval,serverapp,loss,1.5477856427808352
8,server_eval,serverapp,poisoned_accuracy,0.08198121263877028
8,server_eval,serverapp,poisoned_loss,2.7923995400981756
8,server_eval,serverapp,attack_success_rate,0.04147031102733271
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.1579271076176427
